Genes	N.Sequences	N.Proteotypic.Sequences	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_159-73X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_036-41.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_008-47.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_032-19.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_020-38.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_098-25.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_080-42.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_064-26.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_030-45.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_004-6.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_173-80.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_181-84.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_165-76.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_157-73.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_195-91.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_035-14.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_007-3.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_003.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_013-5X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_019-8.mzML
TUBA1D	2	1		209.058	808.594	199.804	149.178	291.966	361.539		177.008		921.244			699.019	2027.2		1395.57			
TUBB;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB5	1	0		3066.27			2468.79															
TUFM	4	4		66238.9	112238	50788.9	9877.08	112973	6008.5	35679.5	28577.4	1813.44	35043.9	11063.2	35181.2	28627.5	209283	21076.2	24650.7	25995.5	3415.42	10472.8
TXN	1	1	1606.52		3000.82							3052.83	5453.58			3293.1	34396.9					
TXNRD1	7	7					638.45				11989.3	4730.85		2581.15					706.136			
UBE2V1;UBE2V2	1	0								3376.2	5858.78											
UGT2B17	4	1			2204.57	4182.19		432.969			2742.33						4603.46		1740.55			
UNC13D	1	1									479.024								234.681			
UST	1	1		15452	6943.22			6912.38	5907.57	90372.4	29758.2		2139.79				5095.17		2053.3	4876.61		15322.9
VAMP4	1	1		28815.3	13312					41365.2	24467.6					9210.3				47025		2898.59
VASP	1	1									19751.5								757.675			
VBP1	1	1							12825.2		2842.46									24785.6		
VDAC1	2	2		1003.55	1502.85	1149.47			417.7				2887.67				3623.05					
VDAC2	2	2			1718.3	4670.5							7754.31				21963.9	7542.84	1579.17			
VDAC3	2	2			6272.37												9694.8					
VIM	3	2		5780.37		8311.13	540.987			12387.3	4013.45	7043.34	2480.78						689.244			
VNN1	9	9	8789.32		5952.45	20530.8			1951.8	3416.38	1964.29	4309.91	3389.32	34234.2	3739.02	2806.19	2112.84	2940.98	1007.29		1862.57	12038.1
VTN	4	4			1123.52			8073.89	15242.5		27863.4	49535.8	1119.43						6695.38			
WDR19	1	1		6246.63		15385.4		19274.4	2523.92	35674.1	8313.68	12224.5	6028.35		38766.4							
WFDC2	2	2	7963.2	1943.49	6238.83	3802.88		20727.4	16656.7	10527.2	17956.3	7596.25	2018.6	1572.59								3074.79
XDH	9	9	8108.23				4618.88				245.909	601.605					3803.65		471.159	1804.82		
XPNPEP2	20	20	85854.9	24207.7	6958.21	27676.3	7298.4	9226.69	22288.7	24132.4	12725.7	23866.3	30964.2	82742.7	11953.5	26030.7	56823.5	18177.3	19467.3	81808.2	11380.7	32240
ZC2HC1B	1	1		4267.07			764.734			16979.1				8050.44		14485.8	17062.6			6448.06		1551.86
ZG16	9	9	35109.7	32104.5	86828.8	313319	111050	503136	765126	216624	78624	29296.9	180595	193481	117472	92402.8	271104	161015	123652	54282.4	78534.7	29496.9
ZG16B	1	1	784.727										553.758									765.039
ZZEF1	3	3	3125.87	1208.61	528.915			1383.46	1206.53	1693.52	2241.83		842.996						723.95			1059.33
lacZ	1	1							2491.42			10713.7										
prpL	18	18	4.71517e+06	279184	233610	187615	170743	919287	236391	716161	291932	159545	2.91323e+06	4.18553e+06	2.6811e+06	4.5503e+06	5.67632e+06	6.26837e+06	1.18015e+06	2.90916e+06	2.89355e+06	4.36112e+06
